month,total_revenue,total_orders,avg_order_value
2019-01,302.5,5,60.5
2019-02,468.92,4,117.23
2019-03,699.34,8,87.42
2019-04,1358.67,12,113.22
2019-05,1819.57,18,101.09
2019-06,2053.94,25,82.16
2019-07,2807.3,29,96.8
2019-08,2257.65,37,61.02
2019-09,3102.93,37,83.86
2019-10,3072.86,36,85.36
2019-11,3132.89,42,74.59
2019-12,5106.52,64,79.79
2020-01,5836.85,56,104.23
2020-02,3427.63,36,95.21
2020-03,6072.71,79,76.87
2020-04,6136.1,74,82.92
2020-05,6674.05,80,83.43
2020-06,7016.17,85,82.54
2020-07,7167.11,85,84.32
2020-08,10192.75,92,110.79
2020-09,7011.78,76,92.26
2020-10,9194.77,101,91.04
2020-11,8087.87,110,73.53
2020-12,8961.34,116,77.25
2021-01,9328.68,132,70.67
2021-02,10292.68,127,81.04
2021-03,11692.45,128,91.35
2021-04,9825.46,128,76.76
2021-05,11173.95,143,78.14
2021-06,12324.22,153,80.55
2021-07,14055.62,167,84.17
2021-08,11074.66,162,68.36
2021-09,12693.09,147,86.35
2021-10,15226.17,178,85.54
2021-11,14355.72,174,82.5
2021-12,16048.17,182,88.18
2022-01,16706.85,229,72.96
2022-02,15334.53,184,83.34
2022-03,17371.26,201,86.42
2022-04,15162.24,193,78.56
2022-05,15872.12,213,74.52
2022-06,17908.92,213,84.08
2022-07,18198.77,228,79.82
2022-08,23317.47,269,86.68
2022-09,22547.18,242,93.17
2022-10,19187.31,229,83.79
2022-11,26078.35,291,89.62
2022-12,24491.56,296,82.74
2023-01,25984.5,293,88.68
2023-02,26879.68,294,91.43
2023-03,29187.24,358,81.53
2023-04,31434.07,342,91.91
2023-05,29263.44,344,85.07
2023-06,31880.95,370,86.16
2023-07,31572.33,364,86.74
2023-08,30706.39,373,82.32
2023-09,27469.25,374,73.45
2023-10,35884.89,427,84.04
2023-11,33024.81,382,86.45
2023-12,33270.65,406,81.95
2024-01,41422.53,469,88.32
2024-02,36428.19,406,89.72
2024-03,34547.62,454,76.1
2024-04,38181.07,446,85.61
2024-05,38226.34,438,87.27
2024-06,42870.84,479,89.5
2024-07,44005.31,502,87.66
2024-08,43934.79,530,82.9
2024-09,46383.57,552,84.03
2024-10,55760.04,647,86.18
2024-11,45904.02,564,81.39
2024-12,51869.98,651,79.68
2025-01,55130.26,676,81.55
2025-02,51418.09,635,80.97
2025-03,59535.84,707,84.21
2025-04,61455.03,715,85.95
2025-05,63346.52,785,80.7
2025-06,71845.65,821,87.51
2025-07,74287.28,880,84.42
2025-08,71732.02,896,80.06
2025-09,77244.66,932,82.88
2025-10,82507.91,979,84.28
2025-11,94231.82,1061,88.81
2025-12,98000.17,1163,84.26
2026-01,114720.59,1292,88.79
2026-02,119217.27,1352,88.18
2026-03,214954.22,2529,85.0
