user_id,recency,frequency,monetary
14346,220,4,109.16
46928,607,4,233.56
33472,373,4,388.19
33217,704,4,89.1
70322,339,4,311.61
57944,-3,4,224.63
32486,81,4,442.97
99720,188,4,430.74
70680,641,4,168.02
2660,49,4,484.13
37083,302,4,495.78
4414,103,4,860.17
91747,73,4,268.93
59118,8,4,593.35
69390,542,4,133.69
8886,42,4,311.55
70770,160,4,130.48
10985,150,4,234.92
58189,194,4,215.97
75144,325,4,302.71
93230,189,4,202.97
58735,95,4,324.07
7691,650,1,0.02
15270,153,1,0.49
80940,1540,1,100.49
20015,1414,1,1.5
68961,546,1,1.5
57271,391,1,1.75
73147,209,1,36.75
42689,215,1,45.82
86253,465,1,43.82
96605,1273,1,1.82
1370,28,1,69.99
11673,1665,1,34.28
25950,915,1,1.95
29674,305,1,41.9
36819,70,1,54.2
2133,2273,1,2.5
30443,824,1,192.0
70346,1193,1,2.67
4442,13,1,2.78
40131,231,1,183.78
58146,18,1,2.8
1207,977,1,2.95
9987,3,1,2.95
13429,731,1,17.94
16548,519,1,2.95
16603,401,1,2.95
17662,103,1,2.95
18161,220,1,2.95
67602,1535,1,292.44
70376,959,1,150.16
70510,329,1,2.95
71686,994,1,238.33
74220,37,1,2.95
84737,178,1,2.95
86736,394,1,21.94
91090,907,1,2.95
1126,619,1,2.99
3134,310,1,2.99
8515,5,1,201.86
22930,758,1,194.98
27525,22,1,126.99
28667,520,1,2.99
35937,640,1,2.99
32780,642,1,3.09
79823,611,1,205.04
80618,134,1,193.03
47564,83,1,72.1
71535,920,1,80.11
81314,333,1,3.11
42042,1064,1,23.71
58262,434,1,3.17
67252,-2,1,75.54
92678,887,1,3.17
45913,1240,1,37.28
85742,337,1,3.28
76727,293,1,33.28
11536,1720,1,82.39
33107,1819,1,3.39
66381,1870,1,87.39
85781,157,1,3.4
97443,481,1,137.85
1076,1325,1,102.95
1245,1121,1,136.67
18518,503,1,3.5
26864,308,1,53.5
37245,316,1,19.2
41984,45,1,3.5
44008,0,1,34.85
48492,1581,1,117.47
53546,898,1,3.5
59649,111,1,61.5
90487,56,1,3.6
83475,174,1,3.67
33747,1134,1,41.69
26303,128,1,26.73
37920,172,1,74.14
88196,148,1,185.73
4653,1050,1,29.7
24709,1017,1,282.15
66469,270,1,102.8
99304,841,1,28.8
89314,2146,1,3.88
12874,739,1,91.85
15690,432,1,3.9
520,1239,1,3.95
7831,330,1,33.94
11710,1727,1,22.95
36523,28,1,19.14
45006,962,1,85.02
56376,306,1,50.94
77044,40,1,54.35
91355,504,1,3.95
1382,881,1,3.98
1815,265,1,3.99
2035,952,1,3.99
3595,1240,1,97.93
11209,204,1,3.99
16665,232,1,25.99
19319,561,1,61.99
19403,2388,1,3.99
22948,382,1,3.99
23084,7,1,115.94
42358,78,1,3.99
42507,324,1,71.98
44540,6,1,68.14
45248,134,1,3.99
64542,1562,1,3.99
73400,563,1,169.98
73915,2546,1,504.44
74760,237,1,3.99
84571,292,1,3.99
