cohort_month,purchase_month,active_users
2019-01,2019-01,12
2019-01,2019-08,1
2019-01,2019-11,1
2019-01,2020-04,1
2019-01,2021-11,1
2019-01,2022-04,1
2019-01,2022-05,1
2019-01,2022-08,1
2019-01,2022-10,1
2019-01,2022-11,1
2019-01,2023-01,1
2019-01,2024-02,1
2019-01,2024-10,1
2019-02,2019-02,26
2019-02,2019-03,1
2019-02,2019-04,1
2019-02,2019-05,1
2019-02,2019-06,1
2019-02,2019-08,1
2019-02,2020-01,3
2019-02,2020-03,1
2019-02,2020-05,1
2019-02,2020-08,1
2019-02,2020-11,1
2019-02,2020-12,1
2019-02,2021-03,1
2019-02,2022-01,1
2019-02,2022-03,1
2019-02,2022-07,2
2019-02,2022-12,1
2019-02,2023-03,1
2019-02,2023-07,1
2019-02,2023-08,1
2019-02,2023-10,1
2019-02,2024-01,1
2019-02,2024-02,2
2019-02,2024-09,1
2019-02,2024-12,1
2019-02,2025-01,1
2019-02,2025-04,1
2019-02,2025-09,2
2019-02,2025-11,1
2019-02,2026-02,1
2019-03,2019-03,36
2019-03,2019-05,1
2019-03,2019-06,1
2019-03,2019-10,2
2019-03,2020-02,1
2019-03,2020-03,1
2019-03,2020-08,1
2019-03,2020-10,1
2019-03,2020-11,1
2019-03,2020-12,1
2019-03,2021-01,1
2019-03,2021-04,1
2019-03,2021-06,1
2019-03,2021-10,1
2019-03,2021-12,1
2019-03,2022-03,1
2019-03,2022-04,1
2019-03,2022-07,1
2019-03,2022-08,1
2019-03,2022-11,1
2019-03,2023-01,1
2019-03,2023-05,2
2019-03,2023-09,2
2019-03,2024-01,2
2019-03,2024-02,1
2019-03,2024-06,1
2019-03,2024-07,2
2019-03,2024-11,1
2019-03,2025-05,2
2019-03,2025-07,1
2019-03,2025-08,2
2019-03,2025-09,1
2019-03,2025-10,2
2019-03,2025-11,1
2019-04,2019-04,51
2019-04,2019-07,1
2019-04,2019-08,2
2019-04,2019-10,1
2019-04,2020-01,1
2019-04,2020-03,1
2019-04,2020-04,1
2019-04,2020-07,1
2019-04,2021-06,1
2019-04,2021-07,2
2019-04,2021-11,1
2019-04,2022-01,1
2019-04,2022-03,1
2019-04,2022-04,2
2019-04,2022-06,2
2019-04,2022-07,3
2019-04,2023-02,1
2019-04,2023-03,2
2019-04,2023-04,2
2019-04,2023-05,2
