user_id,total_spent,revenue_rank,running_total
24669,1326.95,1,1326.95
82532,1240.94,2,2567.89
39260,1202.93,3,3770.82
80654,1143.94,4,4914.76
39108,1117.48,5,6032.24
48421,1089.26,6,7121.5
77493,1079.98,7,8201.48
32664,1070.5,8,9271.98
68609,1059.95,9,10331.93
79853,1057.08,10,11389.01
82287,1051.99,11,12441.0
37266,1039.99,12,13480.99
35716,1001.08,13,14482.07
88318,999.0,14,15481.07
45172,996.95,15,16478.02
36362,993.99,16,17472.01
47900,990.0,17,18462.01
6417,988.24,18,19450.25
79357,988.0,19,20438.25
21212,986.02,20,21424.27
85230,985.93,21,22410.2
20342,983.0,22,23393.2
90718,982.78,23,24375.98
39124,982.0,24,25357.98
39506,972.5,25,26330.48
71794,971.13,26,27301.61
79173,967.98,27,28269.59
76961,963.0,28,29232.59
78501,961.93,29,30194.52
2135,960.97,30,31155.49
44886,950.95,31,32106.44
96629,950.0,32,33056.44
5589,945.99,33,34002.43
9323,945.0,34,34947.43
89235,943.0,35,35890.43
49572,936.0,36,36826.43
80946,928.13,37,37754.56
91251,928.0,38,38682.56
98184,925.0,39,39607.56
47998,923.0,40,40530.56
59365,922.22,41,41452.78
23313,919.64,42,42372.42
62631,916.0,43,43288.42
54704,910.39,44,44198.81
84444,903.0,45,53228.81
75246,903.0,45,53228.81
42167,903.0,45,53228.81
50795,903.0,45,53228.81
68178,903.0,45,53228.81
27826,903.0,45,53228.81
42269,903.0,45,53228.81
65748,903.0,45,53228.81
3310,903.0,45,53228.81
10920,903.0,45,53228.81
40122,900.22,55,54129.03
28114,882.94,56,55011.97
4414,860.17,57,55872.14
96843,838.49,58,56710.63
86428,832.0,59,57542.63
96686,820.0,60,58362.63
26416,815.0,61,59177.63
97153,800.1,62,59977.73
75644,795.0,63,60772.73
34198,793.9,64,61566.63
68493,793.75,65,62360.38
85506,793.7,66,63154.08
30317,793.0,67,63947.08
36212,790.99,68,64738.07
25142,777.05,69,65515.12
34428,776.08,70,66291.2
29204,775.9,71,67067.1
57859,773.96,72,67841.06
61041,767.8,73,68608.86
17201,765.99,74,69374.85
90056,762.0,75,70136.85
73697,750.81,76,70887.66
36091,750.0,77,72387.66
11086,750.0,77,72387.66
84061,744.49,79,73132.15
88223,744.04,80,73876.19
90366,741.49,81,74617.68
86875,738.0,82,75355.68
59103,737.4,83,76093.08
71270,723.89,84,76816.97
89409,718.99,85,77535.96
38211,715.98,86,78251.94
80104,712.99,87,78964.93
46728,711.47,88,79676.4
8819,710.99,89,80387.39
48588,705.06,90,81092.45
13451,703.35,91,81795.8
31378,698.12,92,82493.92
75487,698.0,93,83889.92
41657,698.0,93,83889.92
35468,695.0,95,87364.92
27397,695.0,95,87364.92
20771,695.0,95,87364.92
54255,695.0,95,87364.92
91846,695.0,95,87364.92
95830,694.95,100,88754.82
38336,694.95,100,88754.82
47202,691.61,102,89446.43
13354,691.33,103,90137.76
77721,685.73,104,90823.49
15646,684.52,105,91508.01
65479,684.0,106,92192.01
97655,679.85,107,92871.86
63910,678.0,108,93549.86
27422,672.48,109,94222.34
83698,671.93,110,94894.27
55086,667.38,111,95561.65
42755,666.91,112,96228.56
50835,663.49,113,96892.05
33333,660.99,114,97553.04
22697,653.09,115,98206.13
41812,651.95,116,98858.08
63053,651.82,117,99509.9
15501,650.0,118,100809.9
96095,650.0,118,100809.9
51722,647.37,120,101457.27
17388,646.89,121,102104.16
16273,646.49,122,102750.65
22736,643.25,123,103393.9
46394,643.02,124,104036.92
82561,643.0,125,104679.92
43947,641.9,126,105321.82
95603,638.94,127,105960.76
68954,636.95,128,106597.71
51281,635.98,129,107233.69
27244,634.94,130,107868.63
76045,634.5,131,108503.13
62068,630.99,132,109134.12
7155,630.98,133,109765.1
32822,627.98,134,110393.08
80617,625.98,135,111019.06
72369,625.5,136,111644.56
72757,623.13,137,112267.69
64735,619.27,138,112886.96
3636,616.65,139,113503.61
